gid,ws_cnt,found_age_1,found_age_2,found_age_3,found_age_4,found_age_5,found_age_6,runout_cnt,smbiz_yn_cnt,rpr_per_gender_m,rpr_per_gender_f,rpr_per_age_bin_10,rpr_per_age_bin_20,rpr_per_age_bin_30to50,rpr_per_age_bin_50over,sme_loan_cnt,sme_loan_y_1,sme_loan_y_2,sme_loan_y_3,sme_loan_y_4,sme_loan_y_5,sme_loan_y_6,sales_est_amt_201703,sales_est_amt_201706,sales_est_amt_201709,sales_est_amt_201712,sales_est_amt_201803,sales_est_amt_201806,sales_est_amt_201809,sales_est_amt_201812,sales_est_amt_201903,sales_est_amt_201906,sales_est_amt_201909,sales_est_amt_201912,sales_est_amt_202003,sales_est_amt_202006,sales_est_amt_202009,age10_ratio,age20_ratio,age30_ratio,age40_ratio,age50_ratio,age60_ratio,age70_ratio,indcd_a_yn,indcd_b_yn,indcd_c_yn,indcd_d_yn,indcd_e_yn,indcd_f_yn,indcd_g_yn,indcd_h_yn,indcd_i_yn,indcd_j_yn,indcd_k_yn,indcd_l_yn,indcd_m_yn,indcd_n_yn,indcd_o_yn,indcd_p_yn,indcd_q_yn,indcd_r_yn,indcd_s_yn,indcd_t_yn,indcd_u_yn
다바67bb99aa,1,0,0,0,0,0,1,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,199,0,0,0,0,100,0,0,,,,,,,,Y,,,,,,,,,,,,,
다바68aa99ba,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,32,345,564,888,1187,699,822,716,601,565,502,391,0.17,3.5,9.58,15.83,14.5,2.08,0,,,,,,,,,Y,,,,,,,,,,,,
다바68aa99bb,5,0,1,0,0,0,4,0,3,4,1,0,0,3,2,2,1,0,0,0,0,1,1682,2016,2029,2147,1627,1876,2062,2388,2610,3469,3012,3377,2458,3648,3065,0.16,2.66,13.79,21.39,13.11,2.16,2.55,,,Y,,,,Y,,,,,,,,,,,,,,
다바68ab99ba,3,0,0,1,0,2,0,0,3,0,3,0,0,3,0,0,0,0,0,0,0,0,553,475,534,351,456,556,814,860,465,602,495,933,613,862,598,0.02,2.05,8.71,17.07,31.41,4.34,0.24,,,,,,,,,Y,,,,,,,,,,,,
다바68ba99ab,16,0,1,2,3,2,8,0,13,8,8,0,1,11,4,3,0,1,1,1,0,0,2563,4032,4905,5499,4656,5983,6687,5795,4834,6117,5642,5016,4991,6084,5929,0.27,8.6,19.65,18.52,18.85,3.28,0.82,,,,,,Y,Y,,Y,,,,,,,,,Y,Y,,
다바68ba99ba,4,0,0,0,0,0,4,0,4,2,2,0,0,3,1,2,0,0,0,2,0,0,117,267,404,33,141,295,220,31,52,350,234,98,170,163,121,0,4.58,31.38,29.65,16.58,4.95,3.08,,,,,,,Y,,Y,,,,,,,,,,Y,,
다바68bb99aa,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,95,99,406,170,282,193,82,0,1.75,27.13,13.25,19.38,6.63,0.25,,,,,,,,,Y,,,,,,,,,,,,
다바68bb99ab,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,180,173,164,133,96,92,122,97,48,131,163,102,50,127,202,0.53,8.87,21.6,21.53,22.47,6.47,1.07,,,,,,,Y,,,,,,,,,,,,,,
다바70aa98bb,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4609,2884,0,0,0,0,0,0,0,0,0,0,,,Y,,,,,,,,,,,,,,,,,,
다바71aa98bb,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,303,0,0,0,464,476,109,564,355,261,362,435,362,0,0,21.2,26.4,52.4,0,0,,,,,,,Y,,,,,,,,,,,,,,
다사58ab29ab,2,0,0,0,0,0,2,0,2,1,1,0,0,1,1,0,0,0,0,0,0,0,393,582,947,548,117,283,644,527,128,823,341,534,29,255,442,2.85,2.55,7.8,14.1,9.2,0.35,5.65,,,,,,,,,Y,,,,,,,,,,,,
다사58ba29aa,2,0,1,0,0,1,0,0,2,1,1,0,0,1,1,0,0,0,0,0,0,0,0,32,296,23,67,156,67,27,0,152,0,122,0,91,29,0,0.33,20.75,38.42,1.5,0,14.67,,,,,,,,,Y,,,,,,,,,,,,
다사58bb28bb,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,50,0,0,0,50,,,,,,,,,Y,,,,,,,,,,,,
다사58bb30aa,1,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,130,152,239,261,101,101,0,0,0,0,0,0,0,0,0,0,1.17,0.5,85.5,4.17,8.67,0,,,,,,,,,,,,,,,,,,,Y,,
다사59aa29aa,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1978,2461,1105,653,3315,2936,1126,756,2765,1784,2817,995,4480,4593,0.07,5.57,18.36,23.21,17.43,7.14,6.07,,,,,,,,,Y,,,,,,,,,,,,
다사59ab26aa,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,,,,,,,Y,,,,,,,,,,,,,,
다사59ab28ba,1,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,52,849,0,0,206,401,0,0,46,211,0,0,53,133,1.38,10.88,48.13,27.38,8.13,0.38,0,,,,,,,Y,,,,,,,,,,,,,,
다사59ab29aa,6,0,1,1,1,0,3,0,5,1,5,0,0,4,2,3,0,0,0,0,1,2,5180,8975,7788,5684,5888,8312,7234,7006,6698,9326,7075,6721,4314,8866,6390,0.09,5.01,16.87,23.73,18.67,6,5.78,,,,,,,Y,,Y,,,,,,,,,,,,
다사59ab30aa,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,21,1,157,187,144,540,471,386,174,289,63,61,416,229,30,0,0,0.87,17.07,4.73,52,6.47,,,,,,,Y,,,,,,,,,,,,,,
다사59ba24bb,3,0,0,0,0,0,3,0,2,2,1,0,0,1,2,3,0,0,0,0,0,3,2576,3625,4435,2285,2771,4495,6317,3161,3315,4449,5518,2983,2637,3745,3836,0,3.33,17.06,25.85,19.12,9.88,7.85,,,Y,,,,,,Y,,,,,,,,,,,,
다사59ba26aa,4,0,1,1,1,1,0,0,4,0,4,0,0,4,0,1,0,0,1,0,0,0,195,263,152,24,43,273,575,675,613,901,489,576,299,18,96,0.32,7.47,11.79,24.24,19.35,6.18,3.47,,,,,,,,,Y,,,,,Y,,,,,,,
다사59ba28ba,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,229,33,344,166,114,39,0,0,0.83,4,39,26.5,13.5,10.17,2.83,,,,,,,,,,,,,,Y,,,,,,,
