,원삼면,신갈동,마북동,보정동
닭/오리요리,7,31,39,39
한식,57,182,102,211
일식/수산물,5,29,17,43
양식,2,13,3,32
분식,11,47,32,58
패스트푸드,2,23,18,24
부페,1,3,0,1
기타음식업,0,1,1,2
제과제빵떡케익,9,26,11,29
별식/퓨전요리,4,7,9,10
음식배달서비스,0,0,1,0
유흥주점,15,123,19,64
커피점/카페,32,61,44,119
중식,4,12,4,10
광고/인쇄,1,9,4,4
개인/가정용품수리,0,11,15,15
자동차/이륜차,7,42,39,73
주유소/충전소,0,7,7,12
주택수리,4,15,2,9
운송/배달/택배,0,10,4,4
예식/의례/관혼상제,0,2,0,2
기타서비스업,1,3,5,19
대중목욕탕/휴게,1,5,1,5
세탁/가사서비스,5,40,24,55
물품기기대여,1,8,6,14
법무세무회계,0,0,0,0
개인서비스,1,6,4,5
인력/고용/용역알선,2,15,4,4
대행업,0,2,0,2
사진,0,2,0,8
행사/이벤트,0,2,1,1
이/미용/건강,8,109,82,165
장례/묘지,1,3,0,1
종합소매점,29,90,58,98
중고품소매/교환,1,6,2,3
의복의류,4,92,67,124
기타판매업,7,15,5,9
음/식료품소매,23,50,26,51
가정/주방/인테리어,12,46,37,55
선물/팬시/기념품,11,10,12,30
사무/문구/컴퓨터,3,33,16,12
가방/신발/액세서리,1,21,14,30
애견/애완/동물,0,1,0,4
유아용품,0,4,2,7
자동차/자동차용품,8,29,16,40
의약/의료품소매,0,12,2,4
화장품소매,4,23,20,46
사진/광학/정밀기기소매,2,46,17,46
가전제품소매,0,11,10,12
시계/귀금속소매,0,8,1,6
종교용품판매,0,0,0,0
운동/경기용품소매,0,16,8,21
취미/오락관련소매,0,7,3,3
예술품/골동품/수석/분재,2,2,2,3
가구소매,2,14,5,7
철물/난방/건설자재소매,1,29,5,5
페인트/유리제품소매,2,11,3,0
책/서적/도서,1,4,8,6
건강/미용식품,5,15,14,28
전시/관람,0,0,0,0
놀이/여가/취미,1,0,0,2
요가/단전/마사지,0,13,2,16
PC/오락/당구/볼링등,1,23,9,18
스포츠/운동,0,0,0,1
경마/경륜/성인오락,0,9,0,0
무도/유흥/가무,2,21,5,10
연극/영화/극장,0,0,0,0
실내운동시설,0,0,1,2
실외운동시설,0,0,0,0
운영관리시설,0,1,0,3
학원-자격/국가고시,0,5,0,1
유아교육,1,32,30,30
학교,0,0,0,0
특수교육기관,0,0,0,0
기타교육기관,0,0,0,0
도서관/독서실,0,7,0,11
연구소,0,0,0,0
학원기타,4,21,20,37
학원-예능취미체육,0,23,11,21
학원-창업취업취미,1,0,0,2
학원-보습교습입시,1,16,26,108
학원-음악미술무용,2,23,35,60
학원-어학,0,20,26,85
학문교육기타,0,8,1,1
학원-컴퓨터,0,2,0,4
모텔/여관/여인숙,2,16,3,1
캠프/별장/펜션,15,0,0,0
유스호스텔,1,0,0,0
호텔/콘도,1,10,0,2
민박/하숙,2,0,0,0
부동산임대,0,0,0,0
분양,1,7,5,28
부동산중개,9,67,69,90
평가/개발/관리,0,0,1,0
부동산관련서비스,0,0,0,0
